TimeWindow  Iteration  ResRel(Displacements)  ResRel(Forces)  
    24       8   5.49452986e-06   3.92033476e+00  
    24       9   7.98692792e-06   1.38168611e+00  
    24      10   3.55401038e-06   2.08437652e+00  
    24      11   1.72248987e-06   8.53586856e-01  
    24      12   1.18834184e-06   8.02457775e-01  
    24      13   8.83532430e-07   3.77904645e-01  
    24      14   3.34929601e-07   1.84227230e-01  
    24      15   1.15291436e-07   5.58276858e-03  
    25       1   5.66286984e-02   1.99309390e-01  
    25       2   3.59621865e-04   1.18000030e+01  
    25       3   3.02424791e-04   3.66576365e+00  
    25       4   7.18295813e-05   3.38894195e+00  
    25       5   4.82268230e-05   1.38044029e+01  
    25       6   7.18636565e-05   8.32747186e+00  
    25       7   5.86168995e-05   5.05307362e+00  
    25       8   4.76405883e-05   1.91726817e+01  
    25       9   5.77079537e-06   1.84889155e+00  
    25      10   1.42303626e-05   5.73651292e+00  
    25      11   5.93673331e-06   2.10154539e-01  
    25      12   4.15490724e-06   1.58607092e+00  
    25      13   7.16688476e-07   3.46073481e-01  
    25      14   5.72449595e-07   4.09919765e-01  
    25      15   5.91490286e-07   7.92521760e-02  
    25      16   1.29691916e-07   1.00061139e-02  
    25      17   4.71860116e-08   8.67397223e-03  
    26       1   5.13411661e-02   2.56158778e-01  
    26       2   3.36139190e-04   1.59377787e-01  
    26       3   5.63367537e-05   1.11090113e+01  
    26       4   1.28121796e-04   9.37447107e-01  
    26       5   3.75037672e-05   1.11354083e+01  
    26       6   3.42249888e-05   4.46542812e+00  
    26       7   1.57792151e-05   2.22507390e+00  
    26       8   6.44929548e-06   3.18525652e+00  
    26       9   1.77302245e-06   1.54774612e+00  
    26      10   2.43507234e-06   7.39636153e-02  
    26      11   9.99310095e-07   3.16828511e-01  
    26      12   7.30039471e-07   7.52013682e-02  
    26      13   1.17824087e-07   2.46287152e-02  
    26      14   8.50992006e-08   2.54658180e-02  
    26      15   6.77747861e-08   3.25526933e-03  
    27       1   5.12628418e-02   1.69778654e-01  
    27       2   2.02610267e-04   5.44928499e+00  
    27       3   6.95073127e-05   1.85395027e+01  
    27       4   4.22701943e-05   1.01802136e+01  
